1st_choice,2nd_choice,3rd_choice,4th_choice,5th_choice,output,output_2,output_3,output_4,output_5,output_6,output_7,output_8,output_9,output_10,output_11,output_12,output_13,output_14,,image_local
Python Info/Code,Math Functions,Order of Operations,None,None,no_output,,,,,,,,,,,,,,,./PNGs/Python_Info_Code-Math_Functions-Order_of_Operations.png
Python Info/Code,Math Functions,Addition,None,None,12 + 5, ,Python will output 17.,no_output, , , ,,,,,,,,,./PNGs/Python_Info_Code-Math_Functions-Addition.png
Python Info/Code,Math Functions,Subtraction,None,None,12 - 5, ,Python will output 7.,no_output, , , ,,,,,,,,,no_image
Python Info/Code,Math Functions,Multiplication,None,None,12 * 5, ,Python will output 60.,no_output, , , ,,,,,,,,,no_image
Python Info/Code,Math Functions,Division,None,None,12 / 4, ,Python will output 3.0.," Note that division output floats (decimals) as default, not integers."," Note that division output floats (decimals) as default, not integers.",no_output, ,,,,,,,,,no_image
Python Info/Code,Math Functions,Modulo/Remainder,None,None,10 % 2, ,Python will output 0., - It outputs the remainder that is left when you divide the first ,number by the second.," - If it divides evenly, the result is 0",no_output,,,,,,,,,no_image
Python Info/Code,Math Functions,Equals,None,None,2 + 2 == 4, ,Python will output True., - It determines if the equation is True or False and outputs that as ,   the value.,no_output, ,,,,,,,,,no_image
Python Info/Code,Math Functions,Floor Division,None,None,8 // 3, ,Python will output 2., - Floor Division determines the answer and rounds down to the ,   integer below that number., - 3 / 8 equals 2.667 which rounds down to 2.,no_output,,,,,,,,,no_image
Python Info/Code,Math Functions,Exponent,None,None,2 ** 3, ,Python will output 8., - 2 ** 3 is equivalent to 2 * 2 * 2.,no_output, , ,,,,,,,,,no_image
Python Info/Code,Math Functions,Take Variable & Change its Value,None,None,apple = 1,apple += 1, ,Value of apple is now 2., ,"This process can be done with other operators, including -=, *= ",and /=.,no_output,,,,,,,,no_image
Python Info/Code,Data Types,Variables,Naming Convention,None,"Generally speaking, nearly any combination of lowercase letters, ","uppercase letters, numbers and underscores can be used for a ","variable name, but the following either must or should be avoided:", - You cannot begin the name with a number. ," - You cannot use operator words such as and, or & not ",   (any word that changes color when you complete it).," - Avoid package names, module names, class names and function names  ",   (Python may not throw an error but it will lead to problems).," - Avoid using 'l' (lowercase el), 'I' (uppercase eye) or 'O' (uppercase oh) ",   as single character variable names (the 1st and 2nd can be confused for ,   each other or the number 1 and the last can be confused for the ,   number 0).,no_output,,,no_image
Python Info/Code,Data Types,Variables,Identify Data Type,None,type(variable_name), ,Python will output datatype.,no_output, , , ,,,,,,,,,no_image
Python Info/Code,Data Types,Variables,Find Current Value,None,variable_name, ,Enter the name and Python will output its current value.,no_output, , , ,,,,,,,,,no_image
Python Info/Code,Data Types,Variables,List All Variables,None,%whos, ,"Python will output a table with the headings: Variable, Types ",and Data/Info.," - The Data/Info column will display the value if it is an integer, ","   float or string, but it will display the number of values if it ","   is a list, set, tuple or dictionary. ", - This table is created at a point in time so its output would ,   be different after you add a new variable.,no_output,,,,,,no_image
Python Info/Code,Data Types,Variables,Delete Variable,None,del(variable_name), , Note that Python will not output an acknowledgement of deletion.,no_output, , , ,,,,,,,,,no_image
Python Info/Code,Data Types,Integers,Create,None,variable_name = 5,no_output, , , , , ,,,,,,,,,no_image
Python Info/Code,Data Types,Floats/Decimals,Create,None,variable_name = 5.5,no_output, , , , , ,,,,,,,,,no_image
Python Info/Code,Data Types,Strings,Create,None,variable_name = 'Hello', ,Note that the following:, - You can use either single quotes or double quotes., - Any spaces in between the quotes are part of the string ,   (i.e. 'Hello '),  - Returns can be added by adding a forward-slash ,   followed by a lowercase letter n.,no_output,,,,,,,no_image
Python Info/Code,Data Types,Lists,Create,None,"variable_name = [5, 5.5, 'Hello']", ,Note that the following:, - Lists are made with square brackets., - Items are separated by commas., - The items have a defined ordered and allow duplicate ,"   values - i.e. [5, 5.5, 5].", - The items can be different data types (as they are in this example) ,   or all the same data type.,no_output,,,,,,no_image
Python Info/Code,Data Types,Tuples,Create,None,"variable_name = (5, 5.5, 'Hello')\n\nNote the following:\n - Tuples are are made with parentheses.\n - Items are separated by commas.\n - The items have a defined ordered and allow duplicate values - i.e. (5, 5.5, 5).\n - The items can be different data types (as they are in this example) or all the same data type.", ,"Note the following:\n - Tuples are are made with parentheses.\n - Items are separated by commas.\n - The items have a defined ordered and allow duplicate values - i.e. (5, 5.5, 5).\n - The items can be different data types (as they are in this example) or all the same data type.","Note the following:\n - Tuples are are made with parentheses.\n - Items are separated by commas.\n - The items have a defined ordered and allow duplicate values - i.e. (5, 5.5, 5).\n - The items can be different data types (as they are in this example) or all the same data type.", , , ,,,,,,,,,no_image
Python Info/Code,Data Types,Sets,Create,None,"variable_name = {5, 5.5, 'Hello'}\n\nNote the following:\n - Sets are are made with curly brackets.\n - Items are separated by commas.\n - The items do not have a defined ordered and duplicate values are not allowed.\n - The items can be different data types (as they are in this example) or all the same data type.", ,Note the following:\n - Sets are are made with curly brackets.\n - Items are separated by commas.\n - The items do not have a defined ordered and duplicate values are not allowed.\n - The items can be different data types (as they are in this example) or all the same data type.,Note the following:\n - Sets are are made with curly brackets.\n - Items are separated by commas.\n - The items do not have a defined ordered and duplicate values are not allowed.\n - The items can be different data types (as they are in this example) or all the same data type., , , ,,,,,,,,,no_image
Python Info/Code,Data Types,Dictionaries,Create,None,variable_name = {,"     'brand': 'Ford' ,\n     'model':'Mustang',\n     'year': 1964\n}\n\nNote the following:\n - Dictionaries are are made with curly brackets.\n - Dictionaries store values in key:value pairs.\n - The key:value pairs do not have a defined order and do not allow duplicate key names (different keys can have the same value).\n - The items can be different data types (as they are in this example) or all the same data type.","     'model':'Mustang',\n     'year': 1964\n}\n\nNote the following:\n - Dictionaries are are made with curly brackets.\n - Dictionaries store values in key:value pairs.\n - The key:value pairs do not have a defined order and do not allow duplicate key names (different keys can have the same value).\n - The items can be different data types (as they are in this example) or all the same data type.",     'year': 1964\n}\n\nNote the following:\n - Dictionaries are are made with curly brackets.\n - Dictionaries store values in key:value pairs.\n - The key:value pairs do not have a defined order and do not allow duplicate key names (different keys can have the same value).\n - The items can be different data types (as they are in this example) or all the same data type.,}, ,Note the following:, - Dictionaries are are made with curly brackets., - Dictionaries store values in key:value pairs., - The key:value pairs do not have a defined order and do ,   not allow duplicate key names (different keys can have the same value)., - The items can be different data types (as they are in this ,   example) or all the same data type.,no_output,,no_image
Python Info/Code,Data Types,Booleans,Create,None,variable_name = True, ,Note the following:, - The word (True or False) must be spelled with an uppercase 'T' or 'F'.,"  - Typically, you will establish a boolean variable in this manner ",   and have it changed later if certain conditions are met.,no_output,,,,,,,,,no_image
Python Info/Code,Data Types,Strings,Info,Length,len(string_name), ,  OR, ,len('string'), ,Python outputs the number of characters in the string.,no_output,,,,,,,,no_image
Python Info/Code,Data Types,Strings,Info,ID Specific Character,string_name[0], ,"Characters in a string are indexed, starting at 0 for the first character","(so if the string is 'Hello' in our code above, Python will output 'H')."," - Note that if a string has 5 characters, the last ",   character can be IDed in 2 ways:,   1. string_name[4],   2. string_name[-1],no_output,,,,,,,no_image
Python Info/Code,Data Types,Lists,Info,Length,"len(list_name)\n\n\  OR\n\nlen([item1, item2, item3])\n\nPython outputs the number of items in the list.", ,  OR, ,"len([item1, item2, item3])", ,Python outputs the number of items in the list.,no_output,,,,,,,,no_image
Python Info/Code,Data Types,Lists,Info,ID Specific List Item,"list_name[0]\n\nItems in a list are indexed, starting at 0 for the first item\n(so if the list is [1,2,3] in our code above, Python will output 1).\n - Note that if a list contains 5 items, the last item can be IDed in 2 ways:\n   1. list_name[4]\n   2. list_name[-1]", ,"Items in a list are indexed, starting at 0 for the first item","(so if the list is [1,2,3] in our code above, Python will output 1)."," - Note that if a list contains 5 items, the last ",   item can be IDed in 2 ways:,   1. list_name[4],   2. list_name[-1],no_output,,,,,,,no_image
Python Info/Code,Data Types,Tuples,Info,Length,"len(tuple_name)\n\n\  OR\n\nlen((item1, item2, item3))\n\nPython outputs the number of items in the tuple.", ,  OR, ,"len((item1, item2, item3))", ,Python outputs the number of items in the tuple.,no_output,,,,,,,,no_image
Python Info/Code,Data Types,Tuples,Info,ID Specific Tuple Item,"tuple_name[0]\n\nItems in a tuple are indexed, starting at 0 for the first item\n(so if the tuple is (1,2,3) in our code above, Python will output 1).\n - Note that if a tuple contains 5 items, the last item can be IDed in 2 ways:\n   1. tuple_name[4]\n   2. tuple_name[-1]", ,"Items in a tuple are indexed, starting at 0 for the first item","(so if the tuple is (1,2,3) in our code above, Python will output 1)."," - Note that if a tuple contains 5 items, the last ",   item can be IDed in 2 ways:,   1. tuple_name[4],   2. tuple_name[-1],no_output,,,,,,,no_image
Python Info/Code,Data Types,Sets,Info,Length,"len(set_name)\n\n\  OR\n\nlen({item1, item2, item3})\n\nPython outputs the number of items in the set.", ,  OR, ,"len({item1, item2, item3})", ,Python outputs the number of items in the set.,no_output,,,,,,,,no_image
Python Info/Code,Data Types,Sets,Info,ID Specific Set Item,You cannot ID an item by location in a set as sets do not have an order,no_output,, , , , ,,,,,,,,,no_image
Python Info/Code,Data Types,Dictionaries,Info,Length,"len(dict_name)\n\n\  OR\n\nlen({key1:value1,key2:value2, key3:value3})\n\nPython outputs the number of key:value pairs in the dictionary.", ,  OR, ,"len({key1:value1,key2:value2, key3:value3})", ,Python outputs the number of key:value pairs in the dictionary.,no_output,,,,,,,,no_image
Python Info/Code,Data Types,Dictionaries,Info,ID Specific Dictionary Item by Location,You cannot ID an item by location in a dictionary as dictionaries do not have an order.,no_output,, , , , ,,,,,,,,,no_image
Python Info/Code,Data Types,Dictionaries,Info,ID Specific Dictionary Item by Key,dict_name[key1], ,Python outputs value that corresponds to the first key.," - If the dictionary is {1:'a',2:'b',3:'c'}, dict_name[1] would output 'a'.",no_output, , ,,,,,,,,,no_image
Python Info/Code,Data Types,Integers,Properties,None,Info, ,, , , , ,,,,,,,,,no_image
Python Info/Code,Data Types,Floats/Decimals,Properties,None,Info,,, , , , ,,,,,,,,,no_image
Python Info/Code,Data Types,Strings,Properties,None,Info, , , , , , ,,,,,,,,,no_image
Python Info/Code,Data Types,Lists,Properties,None,Info, , , , , , ,,,,,,,,,no_image
Python Info/Code,Data Types,Tuples,Properties,None,Info, , , , , , ,,,,,,,,,no_image
Python Info/Code,Data Types,Sets,Properties,None,Info, , , , , , ,,,,,,,,,no_image
Python Info/Code,Data Types,Dictionaries,Properties,None,Info, , , , , , ,,,,,,,,,no_image
Python Info/Code,Data Types,Booleans,Properties,None,Info, , , , , , ,,,,,,,,,no_image
Python Info/Code,Data Types,Integers,Manipulate,Integer to String,Code, , , , , , ,,,,,,,,,no_image
Python Info/Code,Data Types,Integers,Manipulate,Integer to Float,Code, , , , , , ,,,,,,,,,no_image
Python Info/Code,Data Types,Floats/Decimals,Manipulate,Float to Integer,Code, , , , , , ,,,,,,,,,no_image
Python Info/Code,Data Types,Floats/Decimals,Manipulate,Float to String,Code, , , , , , ,,,,,,,,,no_image
Python Info/Code,Data Types,Strings,Manipulate,Numeric String to Integer,Code, , , , , , ,,,,,,,,,no_image
Python Info/Code,Data Types,Strings,Manipulate,Numeric String to Float,Code, , , , , , ,,,,,,,,,no_image
Python Info/Code,Data Types,Strings,Manipulate,Slicing,Code, , , , , , ,,,,,,,,,no_image
Python Info/Code,Data Types,Strings,Manipulate,Splitting Into List,Code, , , , , , ,,,,,,,,,no_image
Python Info/Code,Data Types,Strings,Manipulate,Make All Lowercase,Code, , , , , , ,,,,,,,,,no_image
Python Info/Code,Data Types,Strings,Manipulate,Make All Uppercase,Code, , , , , , ,,,,,,,,,no_image
Python Info/Code,Data Types,Strings,Manipulate,Replace a Word/Segment,Code, , , , , , ,,,,,,,,,no_image
Python Info/Code,Data Types,Strings,Manipulate,Combine Strings,Code, , , , , , ,,,,,,,,,no_image
Python Info/Code,Data Types,Lists,Manipulate,Call specific element,Code, , , , , , ,,,,,,,,,no_image
Python Info/Code,Data Types,Lists,Manipulate,Call range,Code, , , , , , ,,,,,,,,,no_image
Python Info/Code,Data Types,Lists,Manipulate,Combine Lists,Code, , , , , , ,,,,,,,,,no_image
Python Info/Code,Data Types,Lists,Manipulate,Add item,Code, , , , , , ,,,,,,,,,no_image
Python Info/Code,Data Types,Lists,Manipulate,Remove item,Code, , , , , , ,,,,,,,,,no_image
Python Info/Code,Data Types,Lists,Manipulate,List  of strings to string,Code, , , , , , ,,,,,,,,,no_image
Python Info/Code,Data Types,Tuples,Manipulate,Call specific element,Code, , , , , , ,,,,,,,,,no_image
Python Info/Code,Data Types,Tuples,Manipulate,Call range,Code, , , , , , ,,,,,,,,,no_image
Python Info/Code,Data Types,Tuples,Manipulate,Add item,Can't Do This, , , , , , ,,,,,,,,,no_image
Python Info/Code,Data Types,Tuples,Manipulate,Remove item,Can't Do This, , , , , , ,,,,,,,,,no_image
Python Info/Code,Data Types,Tuples,Manipulate,Tuple of strings to string,Code, , , , , , ,,,,,,,,,no_image
Python Info/Code,Data Types,Dictionaries,Manipulate,Add key/value pair,Code, , , , , , ,,,,,,,,,no_image
Python Info/Code,Data Types,Dictionaries,Manipulate,Reassign key to new value,Code, , , , , , ,,,,,,,,,no_image
Python Info/Code,Data Types,Dictionaries,Manipulate,Call or make list of dictionary keys,dict_name.keys() or list(dict_name.keys()), , , , , , ,,,,,,,,,no_image
Python Info/Code,Data Types,Dictionaries,Manipulate,Call or make list of dictionary values,dict_name.values() or list(dict_name.values()), , , , , , ,,,,,,,,,no_image
Python Info/Code,Data Types,Booleans,Manipulate,Choose the opposite of value,not, , , , , , ,,,,,,,,,no_image
Python Info/Code,Data Types,Booleans,Manipulate,Where both items must be True,and, , , , , , ,,,,,,,,,no_image
Python Info/Code,Data Types,Booleans,Manipulate,Where one of the items must be True,or, , , , , , ,,,,,,,,,no_image
Python Info/Code,Built-in functions,Print,Variables,None,Code, , , , , , ,,,,,,,,,no_image
Python Info/Code,Built-in functions,Print,Basic String,None,Code, , , , , , ,,,,,,,,,no_image
Python Info/Code,Built-in functions,Print,Multi-Line String,None,Code, , , , , , ,,,,,,,,,no_image
Python Info/Code,Built-in functions,Print,Multiple variables,None,Code, , , , , , ,,,,,,,,,no_image
Python Info/Code,Built-in functions,Print,f strings,None,Code, , , , , , ,,,,,,,,,no_image
Python Info/Code,Built-in functions,Absolute Number,None,https://docs.python.org/3/library/functions.html,Code, , , , , , ,,,,,,,,,no_image
Python Info/Code,Built-in functions,All True?,None,https://docs.python.org/3/library/functions.html,Code, , , , , , ,,,,,,,,,no_image
Python Info/Code,Built-in functions,Any True?,None,https://docs.python.org/3/library/functions.html,Code, , , , , , ,,,,,,,,,no_image
Python Info/Code,Built-in functions,Unicode Character,None,https://docs.python.org/3/library/functions.html,Code, , , , , , ,,,,,,,,,no_image
Python Info/Code,Built-in functions,Division + Remainder,None,https://docs.python.org/3/library/functions.html,Code, , , , , , ,,,,,,,,,no_image
Python Info/Code,Built-in functions,Enumerate,None,https://docs.python.org/3/library/functions.html,Code, , , , , , ,,,,,,,,,no_image
Python Info/Code,Built-in functions,Filter iterable object,None,https://docs.python.org/3/library/functions.html,Code, , , , , , ,,,,,,,,,no_image
Python Info/Code,Built-in functions,Help,None,https://docs.python.org/3/library/functions.html,Code, , , , , , ,,,,,,,,,no_image
Python Info/Code,Built-in functions,Request user input,None,https://docs.python.org/3/library/functions.html,Code, , , , , , ,,,,,,,,,no_image
Python Info/Code,Built-in functions,Is object in iterable?,None,https://docs.python.org/3/library/functions.html,Code, , , , , , ,,,,,,,,,no_image
Python Info/Code,Built-in functions,Do X to each item in iterable,None,https://docs.python.org/3/library/functions.html,Code, , , , , , ,,,,,,,,,no_image
Python Info/Code,Built-in functions,Find largest item in iterable,None,https://docs.python.org/3/library/functions.html,Code, , , , , , ,,,,,,,,,no_image
Python Info/Code,Built-in functions,Find smallest item in iterable,None,https://docs.python.org/3/library/functions.html,Code, , , , , , ,,,,,,,,,no_image
Python Info/Code,Built-in functions,Round to nearest integer,None,https://docs.python.org/3/library/functions.html,Code, , , , , , ,,,,,,,,,no_image
Python Info/Code,Built-in functions,Items in iterable in sorted list,None,https://docs.python.org/3/library/functions.html,Code, , , , , , ,,,,,,,,,no_image
Python Info/Code,Built-in functions,Total of numbers in iterable,None,https://docs.python.org/3/library/functions.html,Code, , , , , , ,,,,,,,,,no_image
Pandas Info/Code,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Pandas Info/Code,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Pandas Info/Code,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Pandas Info/Code,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Pandas Info/Code,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Pandas Info/Code,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Pandas Info/Code,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Pandas Info/Code,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Pandas Info/Code,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Pandas Info/Code,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Pandas Info/Code,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Pandas Info/Code,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Pandas Info/Code,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Pandas Info/Code,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Pandas Info/Code,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Pandas Info/Code,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Pandas Info/Code,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Pandas Info/Code,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Pandas Info/Code,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Pandas Info/Code,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Pandas Info/Code,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Pandas Info/Code,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Pandas Info/Code,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Numpy Info/Code,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Numpy Info/Code,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Numpy Info/Code,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Numpy Info/Code,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Numpy Info/Code,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Numpy Info/Code,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Numpy Info/Code,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Numpy Info/Code,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Numpy Info/Code,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Numpy Info/Code,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Numpy Info/Code,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Numpy Info/Code,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Numpy Info/Code,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Numpy Info/Code,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Numpy Info/Code,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Numpy Info/Code,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Numpy Info/Code,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Numpy Info/Code,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Numpy Info/Code,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Numpy Info/Code,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Numpy Info/Code,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Numpy Info/Code,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Numpy Info/Code,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Numpy Info/Code,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Data Visualization Builder,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Data Visualization Builder,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Data Visualization Builder,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Data Visualization Builder,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Data Visualization Builder,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Data Visualization Builder,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Data Visualization Builder,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Data Visualization Builder,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Data Visualization Builder,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Data Visualization Builder,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Data Visualization Builder,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Data Visualization Builder,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Data Visualization Builder,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Data Visualization Builder,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Data Visualization Builder,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Data Visualization Builder,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Data Visualization Builder,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Data Visualization Builder,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Data Visualization Builder,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Data Visualization Builder,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Data Visualization Builder,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Data Visualization Builder,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image
Data Visualization Builder,Lorem,Lorem,Lorem,Lorem,Lorem, , , , , , ,,,,,,,,,no_image